in:Solar Chimney Height (m),in:SC Orientation,in:Room Orientation,in:Room Width(m),in:Room Depth(m),out:FlowRate_m3/hr,out:TotalDiscomfortHours,out:TooHotDiscomfortHours,out:OT_TotalDiscomfortHours,out:OT_TooHotDiscomfortHours,out:NS_OT_TotalDiscomfortHours,out:NS_OT_TooHotDiscomfortHours,out:TotalEnergy,out:CoolingEnergy
7,0,-2,18,14,3754.593557,1950,1950,1299,1299,813,813,23.35138,21.998618
8,0,-2,18,14,3916.22255,1888,1888,1244,1244,804,804,22.99562,21.504578
4,1,-2,18,14,3218.363697,2440,2440,1718,1718,862,862,23.987444,23.253466
5,1,-2,18,14,3441.95457,2193,2193,1512,1512,840,840,24.17203,23.252215
6,1,-2,18,14,3626.34279,2038,2038,1375,1375,819,819,23.578999,22.469793
7,1,-2,18,14,3779.157311,1944,1944,1293,1293,812,812,23.203309,21.899421
8,1,-2,18,14,3927.786237,1888,1888,1243,1243,802,802,22.965599,21.522261
4,2,-2,18,14,3179.780009,2402,2402,1684,1684,868,868,24.051375,23.233826
5,2,-2,18,14,3413.038211,2163,2163,1481,1481,828,828,24.144148,23.102655
6,2,-2,18,14,3589.7714,2016,2016,1356,1356,819,819,23.607723,22.380973
7,2,-2,18,14,3732.196495,1924,1924,1275,1275,806,806,23.263433,21.848937
8,2,-2,18,14,3901.295378,1876,1876,1233,1233,792,792,23.031484,21.426015
4,3,-2,18,14,3202.116532,2396,2396,1680,1680,852,852,23.852318,23.045306
5,3,-2,18,14,3419.605615,2158,2158,1481,1481,824,824,24.01292,22.977522
6,3,-2,18,14,3596.732651,2005,2005,1350,1350,815,815,23.497448,22.292161
7,3,-2,18,14,3738.17775,1920,1920,1273,1273,798,798,23.171392,21.76524
8,3,-2,18,14,3891.043479,1875,1875,1234,1234,788,788,22.905574,21.316033
4,0,-1,18,14,3071.776197,2374,2374,1681,1681,797,797,23.5672,22.695228
5,0,-1,18,14,3315.491519,2130,2130,1476,1476,755,755,23.176449,22.146201
